id,text
34335512,"Xxxxxxx Xxxxxx Xx (Xxxxxxxxx 11, 600 – 680s), xxxxx as Xxxxxxx the Xxxxx, was a Xxxx xxxxx of the Xxxx xxxxxxx, which xxx its xxxxxxx at Xxxxxxxx during the Xxxxxxx Xxxxxx of Xxxxxxxxxxxx xxxxxxxxxx."
43869726,Xxxs and Xxxs is a 2007 Xxxxxxxxxx xxxxxx xxxx xxxxxxxx by Xxxx Xxxxxx and xxxxing Xxxx Xxxx and Xxxxx Xxxx.
52082793,Xxxxxxx Xxxxxxx (xxxx 9 Xxxxxxxx 1975 in Xxxx) is a Xxxxxx xxxxxxxxxx who xxxxxed as a xxxxxxxxxx for the Xxxxxx xxxxx's xxxxxxxx xxxxxxxx xxxx. She was xxxx of the xxxx at the Xxxx Xxxxx's Xxxx 2001. On xxxx xxxxx she xxxxxed for Xx Xxxxx Xxxx in Xxxxxx.
8273434,"Xxxxx Xxx For the Xxxxx xxx 1995 xxxx xxxxs from Xxxx 1994 xxxxxxxed so xxxxx xxxx Xxxxxxxxxx did not xxx a xxxxxx to xxxxxxxxxxx. At the Xxxxx Xxx's they xxxxxed 8 xxxxs – 1999, 2009, 2013, 2015, 2017, 2019, 2021 and 2023. The xxxx xxxxxxxxxx was in 2015 when they xxxxxxed 9th."
37897173,Xxxxxxx xxxxxxxxx is a xxxx of the xxxxxx Xxxxxxxxxxx. It is xxxxx on Xxxxxxx.
28985107,"The xxxx is to the xxxxxxxxx of the xxxxxxx of Xxxxxx Xxxxxxxxxx, and xxxxs xxxxxx within the xxxxxx of Xxxxxxxxx, and xxxxxx within the xxxxxx of Xxxxxxxxx."
29512629,"The Xxxxxxxxxxx Xxxxxs () are xxx xxx xxxx xxxxxs xxxxing above the Xxxxxxxxx xxxxxxx xxxxxxx xxxx of the Xxxxxxxxxxxxx Xxxxs, in the Xxxxx Xxxxxxxxx of Xxxxx Xxxx Xxxx. They were xxxed from xxxxxxs and xxx xxxxxs by the Xxxxx Xxxxxxxxx Xxxxxxxxx Xxxxxxxxxx (1956–60) and xxxxed Xxxxxxxxxxx."
65425941,"In 1906 he was xxxxxxx xxxx to xxxxxxx xxxxxxxxx xxxx, xxxxxxing xxxxxxx a xxxxxxed xxxxx xxxxxxxx, xxxxing in xxxxxx Xxxxxxxxxx and Xxxxxx. Xxx xxxxs xxxxer, in 1908, he was xxxxxxx to xxxxxxxxxx of the Xxxxxxxxx xxxxxxxxx xxxxxxx. He was by xxx xxxxing a xxxxxxxxxx in the xxxxxx as an xxxxxxxxx xxxxxxxxx xxxxxx (or ""xxxxxxxx""). He xxxx a xxxxing xxxx in Xxxxxx xxxxxxxx xxxxxxxxxxxxxx, xxxxxxxxing xxxxxxxxxx for xxxxxxxxxx xxxxx xxxxxxxxx, which xxxxx xxxxxxxxing against the xxxxxxxx ""Xxxxxxxxxxxxxxxxxxxx"" (xxxxxxxxx ""Xxxxx-xxxxx xxxxxx xxxxxxxxxxx""), whereby the 80% of xxxxxs xxxing the xxxest xxxxxxs in xxx xxx the xxxx xxxxxs of xxxxxxxxx in xxxxxxxx xxxxxxs as the xxxxest 5% xxxing the xxxxest xxxxxxs. (The xxxxxxx xxxxxxxxxxx xxxxed xxxxxxxx over xxxx xxxxxxxxx to xxx xxxxs and xxxxxs of xxxxxxxxxx, but the xxxxxxxxing xxxxxxxxxx would xxxxxx till 1918.)"
40673733,"Xxxxxxxx Xxxxxxxxx Xxxxxx (Xxxx 13, 1937 – Xxxx 3, 2017) was a Xxxxxxxx-Xxxxxxxx xxxxxxxxx who xxxxxxxxxxed in the xxxxxxx of xxxxxx xxxxxxxx. She was a xxxxxxxx xxxxxxxxx at Xxxx Xxxs in Xxxxxx Xxxx, Xxx Xxxxxx from 1972 to 1997 before xxxxxxxx Xxxxxxxed Xxxxxx Xxxxxxx Xxxxxxxxxxxx in Xxxxxx, Xxx Xxxxxx. She was a xxxxxx of the Xxxxxxxx Xxxxxxxx Xxxxxxx and xxxx xxxxxxxed a Xxxxxxxxxx xxxxxxxxxx."
357414,"2008 xxxx xxx xxxxxxxxxx xxxxxxxxx at Xxxx's Xxxxxxxx xxxxx with the xxxxxxxxxxxx of a xxx, xxxxxxx xxxxx xxxxxx. This xxxxxxxxx xxxx the Xxxxxxxx xxxxx to xxxxxxxxxxxxx 1/3 xxxxxxx xxxxxx xxxx under xxxx, not xxxxxxxing xxxxxxxx xxxxxed xxxxxxxxxx xxxed for xxxxxxxxxxx of xxxxxxxx-xxxxx xxxxxxxxxx xxxs."
37933082,"Xxxxx to this xxxxxxxxxxx, the xxxxxxxx xxxxx and xxxxxxxxxxxx xxxxxxs were as xxxxxxs."
17737077,"Xxxxxxxxx Xxxx Xxxxxx is a xxxx xxxxxx at Xxxxxxxxx, Xxxxxxxxx, Xxxxxxx across the Xxxxx Xxxxxx. It is a Xxxxx Xx xxxxed xxxxxxxx."
39299950,The 2007–08 Xx Xxxxx Xxxx xxxxxx is the 110th xxxxxx in xxxx xxxxxxx.
28017802,"The 1997 Xxxx Xxxxxx Under-16 Xxxxxxxxxxxx (xxxxx at that xxxx as 1997 Xxxxxxxx Xxxxxxxxxxxx for Xxxxxs) was the 14th xxxxxxx of the Xxxx Xxxxxx Under-16 Xxxxxxxxxxxx. The xxxxs of Xxxxxxxxx, Xxxxxxxx and Xxxxxxxxx, in Xxxxxxx, xxxxed the xxxxxxxxxx. Xxxxxxxxxx xxx the xxxxxx for the xxxxx xxxx, the xxxxx since the xxxxxxx of Xxxxxxxxxx."
27014228,"Xxxxxx is a xxxxxxxx in Xxxxxx xxxx, Xxxxxxx xxxxxxxxxxxx, Xxxxxx xxxxxx. It is xxxxxxed in Xxxxx's Xxxxxx Xxxxxx xxxxxxxxxxxxx from the Xxxxxxx Xxx. It xxxxxxxxs the xxxxxxxx Xxxxx Xxxxxx. Xxxxxx is xxxxed after xxx of its xxxxx xxxxxxxs and a xxx of Xxxxxx."
27580589,"Xxxxxxx Xxxxxxxxx is a xxxx and xxxxxxx in Xxxx Xxxxxxxx, Xxxxxxx. At the 1998 xxxxxx it xxx a xxxxxxxxxx of 10417."
