Horodateur;Quel est votre genre ?;Dans quel pays vivez-vous ?;Quelle est votre langue maternelle ?;Quelles langues parlez-vous couramment ?;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;A quel point est-ce que vous trouvez cette langue attirante ? ;Pensez-vous que votre perception (positive ou négative) de la culture d’un pays influence votre perception de sa langue ? 
2024/12/06 11:48:15 AM UTC+1;Homme;France;Russian ;Russian, English ;Assez attirante;Assez attirante;Très attirante;Assez attirante;Assez attirante;Très attirante;Attirante;Assez attirante;Très attirante;Non
2024/12/16 6:51:38 PM UTC+1;Femme;France;Français ;Français ;Attirante;Pas très attirante;Pas très attirante;Attirante;Assez attirante;Pas très attirante;Assez attirante;Assez attirante;Assez attirante;Non
2024/12/16 7:18:49 PM UTC+1;Femme;France ;Français ;Français ;Assez attirante;Pas très attirante;Pas attirante;Assez attirante;Pas attirante du tout;Attirante;Assez attirante;Pas très attirante;Très attirante;Oui
2024/12/16 7:47:51 PM UTC+1;Femme;France ;Français ;Français ;Très attirante;Pas attirante du tout;Attirante;Très attirante;Pas attirante du tout;Pas attirante du tout;Assez attirante;Très attirante;Assez attirante;Oui
2024/12/16 8:14:39 PM UTC+1;Femme;France;Français;Français, Anglais;Attirante;Assez attirante;Attirante;Pas très attirante;Pas attirante;Pas très attirante;Assez attirante;Assez attirante;Attirante;Oui
2024/12/16 8:31:29 PM UTC+1;Femme;France;Français ;Français, Anglais;Assez attirante;Très attirante;Pas très attirante;Attirante;Assez attirante;Attirante;Assez attirante;Assez attirante;Assez attirante;Oui
2024/12/16 8:35:08 PM UTC+1;Femme;France;Français;Français, anglais, espagnol;Très attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas attirante;Pas très attirante;Attirante;Pas très attirante;Attirante;Non
2024/12/16 9:19:37 PM UTC+1;Femme;France ;Français;Français, Anglais ;Attirante;Attirante;;;;;;;;Oui
2024/12/16 11:42:01 PM UTC+1;Femme;France;Français;Français, Anglais;Très attirante;Pas très attirante;Assez attirante;Assez attirante;Pas attirante;Attirante;Attirante;Pas très attirante;Assez attirante;Oui
2024/12/17 3:34:29 PM UTC+1;Homme;France ;français ;français ;;;;;;;;;;Oui
2024/12/17 5:43:07 PM UTC+1;Femme;France;Japonais ;Japonais Français;Pas attirante;Pas attirante;Pas attirante du tout;Pas très attirante;Pas attirante;Assez attirante;Pas très attirante;Pas attirante du tout;Pas attirante;Non
2024/12/17 9:43:01 PM UTC+1;Homme;France;Français;Français ;Attirante;Pas attirante;Attirante;Attirante;Pas très attirante;Assez attirante;Assez attirante;Pas attirante;Très attirante;Oui
2024/12/19 8:36:42 AM UTC+1;Homme;France;Français ;Français/Anglais/Arabe;Très attirante;Pas attirante du tout;Assez attirante;Pas très attirante;Pas attirante;Assez attirante;Attirante;Très attirante;Assez attirante;Oui
2024/12/19 3:21:56 PM UTC+1;Homme;France;Français;Français, Anglais;Attirante;Pas très attirante;Assez attirante;Attirante;Pas attirante;Pas très attirante;Attirante;Assez attirante;Attirante;Non
2024/12/20 3:09:32 PM UTC+1;Femme;France ;Français ;Français ;Attirante;Pas attirante;Attirante;Pas attirante du tout;Pas attirante du tout;Pas attirante du tout;Très attirante;Attirante;Assez attirante;Oui
2024/12/20 3:17:39 PM UTC+1;Femme;France ;Français ;Français, Anglais;Très attirante;Pas très attirante;Pas attirante;Pas attirante;Pas attirante du tout;Pas attirante;Attirante;Pas attirante;Pas attirante du tout;Oui
2024/12/20 3:25:28 PM UTC+1;Homme;France;Français ;Français ;Assez attirante;Attirante;Attirante;Pas attirante;Pas attirante du tout;Très attirante;Attirante;Attirante;Assez attirante;Oui
2024/12/20 3:32:31 PM UTC+1;Femme;France;Français;Français ;Très attirante;Pas très attirante;Attirante;Très attirante;Pas très attirante;Pas attirante;Attirante;Très attirante;Très attirante;Non
2024/12/20 3:40:37 PM UTC+1;Homme;France;Le Francais ;Le français ;Très attirante;Pas attirante;Attirante;Pas très attirante;Pas attirante;Pas attirante;Assez attirante;Pas attirante du tout;Assez attirante;Oui
2024/12/20 3:47:57 PM UTC+1;Femme;France;Français ;Français Anglais ;Très attirante;Pas attirante;Assez attirante;Attirante;Assez attirante;Assez attirante;Assez attirante;Attirante;Assez attirante;Oui
2024/12/20 3:52:52 PM UTC+1;Femme;France;Français ;Français;Assez attirante;Pas très attirante;Assez attirante;Pas très attirante;Pas attirante;Pas attirante;Pas très attirante;Pas attirante du tout;Très attirante;Oui
2024/12/20 3:54:59 PM UTC+1;Homme;France ;Français ;Le Français et l’anglais;Très attirante;Pas attirante du tout;Assez attirante;Pas attirante;Pas attirante;Pas très attirante;Attirante;Assez attirante;Assez attirante;Oui
2024/12/20 3:55:37 PM UTC+1;Homme;France;Français;Anglais;Assez attirante;Attirante;Attirante;Très attirante;Très attirante;Attirante;Attirante;Pas très attirante;Attirante;Oui
2024/12/20 4:00:12 PM UTC+1;Femme;France;Francais;Francais anglais;Attirante;Assez attirante;Pas très attirante;Assez attirante;Assez attirante;Attirante;Attirante;Pas attirante;Pas très attirante;Non
2024/12/20 4:00:14 PM UTC+1;Femme;france ;français ;français / anglais / espagnol ;Attirante;Pas attirante du tout;Très attirante;Assez attirante;Pas attirante;Assez attirante;Pas très attirante;Pas très attirante;Assez attirante;Non
